ID,Offense,Arrests_Adult,Arrests_Juvenile,Offenses_Reported,Offenses_Cleared,Classification,Year
34,Theft From Motor Vehicle,485,89,"11,871",672,A: Crimes Against Property,2016
35,Theft of Motor Vehicle Parts/Accessories,24,2,"1,721",36,A: Crimes Against Property,2016
36,All Other Larceny,"2,662",237,"31,480","3,622",A: Crimes Against Property,2016
37,Motor Vehicle Theft,489,115,"6,360",830,A: Crimes Against Property,2016
38,Stolen Property Offenses,730,138,"1,992","1,216",A: Crimes Against Property,2016
39,Drug/Narcotic Violations,"7,605",203,"10,313","8,286",A: Crimes Against Society,2016
40,Drug Equipment Violations,6,0,170,119,A: Crimes Against Society,2016
41,Betting/Wagering,0,0,0,0,A: Crimes Against Society,2016
42,Operating/Promoting/Assisting Gambling,16,0,19,12,A: Crimes Against Society,2016
43,Gambling Equipment Violations,0,0,5,1,A: Crimes Against Society,2016
44,Sports Tampering,0,0,0,0,A: Crimes Against Society,2016
45,Pornography/Obscene Material,42,26,514,101,A: Crimes Against Society,2016
46,Prostitution,441,1,368,304,A: Crimes Against Society,2016
47,Assisting or Promoting Prostitution,21,0,37,27,A: Crimes Against Society,2016
48,Purchasing Prostitution,6,0,7,7,A: Crimes Against Society,2016
49,Weapon Law Violations,731,123,"2,808","1,741",A: Crimes Against Society,2016
50,Animal Cruelty,4,0,9,5,A: Crimes Against Society,2016
51,Total Group A Offenses,"49,232","4,344","229,378","69,382",A: Crimes Against Society,2016
52,Bad Checks,233,4,,,B,2016
53,Curfew/Loitering/Vagrancy Violations,11,0,,,B,2016
54,Disorderly Conduct,"3,511",391,,,B,2016
55,Driving Under the Influence,"8,092",45,,,B,2016
56,Drunkenness,"5,771",52,,,B,2016
57,Family Offenses (Nonviolent),"1,253",32,,,B,2016
58,Liquor Law Violations,"1,755",322,,,B,2016
59,Peeping Tom,3,0,,,B,2016
60,Trespass of Real Property,"1,951",136,,,B,2016
61,All Other Offenses,"32,200","1,319",,,B,2016
62,Total Group B,"54,780","2,301",,,B,2016
63,Murder and Nonnegligent Manslaughter,26,2,105,45,A: Crimes Against Persons,2017
64,Negligent Manslaughter,3,0,7,4,A: Crimes Against Persons,2017
65,Kidnapping/Abduction,148,6,519,314,A: Crimes Against Persons,2017
66,Rape,191,17,"1,431",281,A: Crimes Against Persons,2017
67,Sodomy,74,8,321,135,A: Crimes Against Persons,2017
68,Sexual Assault With An Object,10,1,54,14,A: Crimes Against Persons,2017
69,Fondling,189,31,"1,131",279,A: Crimes Against Persons,2017
70,Incest,10,0,70,10,A: Crimes Against Persons,2017
71,Statutory Rape,77,22,675,131,A: Crimes Against Persons,2017
72,Aggravated Assault,"5,454",457,"13,713","8,754",A: Crimes Against Persons,2017
73,Simple Assault,"14,920","1,305","34,189","20,186",A: Crimes Against Persons,2017
74,Intimidation,"1,488",186,"10,702","2,929",A: Crimes Against Persons,2017
75,"Human Trafficking, Commercial Sex Acts",4,0,18,9,A: Crimes Against Persons,2017
76,"Human Trafficking, Involuntary Servitude",0,0,10,1,A: Crimes Against Persons,2017
77,Arson,52,30,387,99,A: Crimes Against Property,2017
78,Bribery,0,0,6,3,A: Crimes Against Property,2017
79,Burglary/Breaking & Entering,"1,528",265,"14,463","2,028",A: Crimes Against Property,2017
80,Counterfeiting/Forgery,403,15,"2,898",695,A: Crimes Against Property,2017
81,Destruction/Damage/Vandalism of Property,"2,018",347,"30,407","5,121",A: Crimes Against Property,2017
82,Embezzlement,129,3,536,153,A: Crimes Against Property,2017
83,Extortion/Blackmail,11,4,159,20,A: Crimes Against Property,2017
84,False Pretenses/Swindle/Confidence Game,689,12,"7,634","1,146",A: Crimes Against Property,2017
85,Credit Card/Automatic Teller Fraud,161,2,"4,013",303,A: Crimes Against Property,2017
86,Impersonation,86,1,"4,808",235,A: Crimes Against Property,2017
87,Welfare Fraud,0,0,5,1,A: Crimes Against Property,2017
88,Wire Fraud,5,0,261,6,A: Crimes Against Property,2017
89,Identity Theft,7,0,548,15,A: Crimes Against Property,2017
90,Hacking/Computer Invasion,0,0,35,0,A: Crimes Against Property,2017
91,Robbery,680,101,"3,118",838,A: Crimes Against Property,2017
92,Pocket-picking,69,6,682,110,A: Crimes Against Property,2017
93,Purse-snatching,46,7,277,53,A: Crimes Against Property,2017
94,Shoplifting,"5,068",364,"11,661","5,459",A: Crimes Against Property,2017
95,Theft From Building,753,56,"8,449","1,028",A: Crimes Against Property,2017
96,Theft From Coin Operated Machine or Device,1,2,23,1,A: Crimes Against Property,2017
97,Theft From Motor Vehicle,426,92,"10,779",616,A: Crimes Against Property,2017
98,Theft of Motor Vehicle Parts/Accessories,20,4,"1,606",37,A: Crimes Against Property,2017
99,All Other Larceny,"2,424",206,"29,416","3,278",A: Crimes Against Property,2017
100,Motor Vehicle Theft,461,71,"5,964",706,A: Crimes Against Property,2017
101,Stolen Property Offenses,721,127,"1,886","1,177",A: Crimes Against Property,2017
102,Drug/Narcotic Violations,"7,101",189,"9,783","7,984",A: Crimes Against Society,2017
103,Drug Equipment Violations,10,1,218,155,A: Crimes Against Society,2017
104,Betting/Wagering,0,0,0,0,A: Crimes Against Society,2017
105,Operating/Promoting/Assisting Gambling,4,1,21,13,A: Crimes Against Society,2017
106,Gambling Equipment Violations,0,0,0,0,A: Crimes Against Society,2017
107,Sports Tampering,0,0,0,0,A: Crimes Against Society,2017
108,Pornography/Obscene Material,43,23,565,96,A: Crimes Against Society,2017
109,Prostitution,334,1,362,300,A: Crimes Against Society,2017
110,Assisting or Promoting Prostitution,15,0,45,23,A: Crimes Against Society,2017
111,Purchasing Prostitution,70,0,68,65,A: Crimes Against Society,2017
112,Weapon Law Violations,774,109,"2,813","1,697",A: Crimes Against Society,2017
113,Animal Cruelty,4,0,18,9,A: Crimes Against Society,2017
114,Total Group A Offenses,"46,707","4,074","216,859","66,562",A: Crimes Against Society,2017
115,Bad Checks,226,0,,,B,2017
116,Curfew/Loitering/Vagrancy Violations,8,2,,,B,2017
117,Disorderly Conduct,"3,458",412,,,B,2017
118,Driving Under the Influence,"7,949",29,,,B,2017
119,Drunkenness,"5,347",29,,,B,2017
120,Family Offenses (Nonviolent),"1,334",45,,,B,2017
121,Liquor Law Violations,"1,484",247,,,B,2017
122,Peeping Tom,2,0,,,B,2017
123,Trespass of Real Property,"2,186",191,,,B,2017
124,All Other Offenses,"31,768","1,241",,,B,2017
125,Total Group B,"53,762","2,196",,,B,2017
126,Murder and Nonnegligent Manslaughter,19,0,78,31,A: Crimes Against Persons,2018
127,Negligent Manslaughter,2,0,4,3,A: Crimes Against Persons,2018
128,Kidnapping/Abduction,114,6,567,305,A: Crimes Against Persons,2018
129,Rape,212,14,"1,664",303,A: Crimes Against Persons,2018
130,Sodomy,97,6,361,172,A: Crimes Against Persons,2018
131,Sexual Assault With An Object,2,0,33,5,A: Crimes Against Persons,2018
132,Fondling,166,30,"1,131",262,A: Crimes Against Persons,2018
133,Incest,6,3,70,15,A: Crimes Against Persons,2018
134,Statutory Rape,72,23,742,124,A: Crimes Against Persons,2018
135,Aggravated Assault,"5,288",376,"13,264","8,483",A: Crimes Against Persons,2018
136,Simple Assault,"14,682","1,197","33,389","19,484",A: Crimes Against Persons,2018
137,Intimidation,"1,399",186,"10,576","2,997",A: Crimes Against Persons,2018
138,"Human Trafficking, Commercial Sex Acts",5,0,36,11,A: Crimes Against Persons,2018
139,"Human Trafficking, Involuntary Servitude",0,0,8,3,A: Crimes Against Persons,2018
140,Arson,39,17,283,71,A: Crimes Against Property,2018
141,Bribery,2,0,13,11,A: Crimes Against Property,2018
142,Burglary/Breaking & Entering,"1,375",127,"11,812","1,792",A: Crimes Against Property,2018
143,Counterfeiting/Forgery,385,7,"2,772",667,A: Crimes Against Property,2018
144,Destruction/Damage/Vandalism of Property,"1,934",308,"25,625","4,998",A: Crimes Against Property,2018
145,Embezzlement,104,1,480,129,A: Crimes Against Property,2018
146,Extortion/Blackmail,9,0,257,14,A: Crimes Against Property,2018
147,False Pretenses/Swindle/Confidence Game,743,16,"8,307","1,108",A: Crimes Against Property,2018
148,Credit Card/Automatic Teller Fraud,123,3,"3,382",256,A: Crimes Against Property,2018
149,Impersonation,80,2,"4,420",235,A: Crimes Against Property,2018
150,Welfare Fraud,0,0,7,0,A: Crimes Against Property,2018
151,Wire Fraud,4,0,617,5,A: Crimes Against Property,2018
152,Identity Theft,11,2,826,27,A: Crimes Against Property,2018
153,Hacking/Computer Invasion,0,0,50,0,A: Crimes Against Property,2018
154,Robbery,619,89,"2,737",753,A: Crimes Against Property,2018
155,Pocket-picking,60,3,719,92,A: Crimes Against Property,2018
156,Purse-snatching,25,0,318,38,A: Crimes Against Property,2018
157,Shoplifting,"4,929",207,"11,528","5,144",A: Crimes Against Property,2018
158,Theft From Building,606,37,"7,472",855,A: Crimes Against Property,2018
159,Theft From Coin Operated Machine or Device,0,0,38,3,A: Crimes Against Property,2018
160,Theft From Motor Vehicle,436,62,"9,328",611,A: Crimes Against Property,2018
161,Theft of Motor Vehicle Parts/Accessories,16,0,"1,303",19,A: Crimes Against Property,2018
162,All Other Larceny,"1,827",125,"25,165","2,565",A: Crimes Against Property,2018
163,Motor Vehicle Theft,447,35,"5,301",658,A: Crimes Against Property,2018
164,Stolen Property Offenses,550,66,"1,734",958,A: Crimes Against Property,2018
165,Drug/Narcotic Violations,"6,464",133,"9,150","7,415",A: Crimes Against Society,2018
166,Drug Equipment Violations,17,1,193,124,A: Crimes Against Society,2018
167,Betting/Wagering,1,1,1,1,A: Crimes Against Society,2018
168,Operating/Promoting/Assisting Gambling,4,0,23,19,A: Crimes Against Society,2018
169,Gambling Equipment Violations,0,0,1,0,A: Crimes Against Society,2018
170,Sports Tampering,0,0,0,0,A: Crimes Against Society,2018
171,Pornography/Obscene Material,51,39,605,123,A: Crimes Against Society,2018
172,Prostitution,330,1,295,228,A: Crimes Against Society,2018
